№,секунда,Микросекунда
1,49,5840
2,49,18375
3,49,30549
4,49,42930
5,49,54584
6,49,66923
7,49,79451
8,49,91893
9,49,103198
10,49,114922
11,49,124958
12,49,136255
13,49,148148
14,49,160256
15,49,172782
16,49,185187
17,49,197614
18,49,208158
19,49,220017
20,49,231759
21,49,242051
22,49,255917
23,49,267580
24,49,278331
25,49,290372
26,49,302156
27,49,313974
28,49,326063
29,49,337025
30,49,355304
31,49,367852
32,49,379834
33,49,393172
34,49,404909
35,49,416699
36,49,428353
37,49,440883
38,49,453435
39,49,465403
40,49,475922
41,49,487290
42,49,498928
43,49,511483
44,49,524024
45,49,536425
46,49,547823
47,49,560352
48,49,572984
49,49,585548
50,49,597618
51,49,609215
52,49,621627
53,49,634183
54,49,646080
55,49,658129
56,49,670555
57,49,683103
58,49,694548
59,49,706953
60,49,718671
61,49,731226
62,49,741581
63,49,754136
64,49,766700
65,49,778399
66,49,791000
67,49,804384
68,49,816261
69,49,828799
70,49,841432
71,49,852483
72,49,864250
73,49,875957
74,49,888481
75,49,900794
76,49,913247
77,49,925577
78,49,938119
79,49,950653
80,49,963186
81,49,976957
82,49,988707
83,49,999842
84,50,12190
85,50,24748
86,50,35750
87,50,46469
88,50,58372
89,50,70897
90,50,84084
91,50,96475
92,50,107952
93,50,119399
94,50,131969
95,50,143450
96,50,155998
97,50,166615
98,50,179074
99,50,191620
100,50,202912
101,50,215435
102,50,227970
103,50,240544
104,50,251424
105,50,261633
106,50,273974
107,50,286504
108,50,299051
109,50,310845
110,50,322592
111,50,335157
112,50,345251
113,50,357587
114,50,370118
115,50,380185
116,50,392055
117,50,402337
118,50,414448
119,50,426971
120,50,439532
121,50,451029
122,50,462270
123,50,474882
124,50,486063
125,50,496458
126,50,506909
127,50,519251
128,50,529790
129,50,542128
130,50,554652
131,50,566936
132,50,579480
133,50,592117
134,50,604688
135,50,616265
136,50,627653
137,50,640266
138,50,652789
139,50,665354
140,50,676186
141,50,688481
142,50,701024
143,50,712959
144,50,723934
145,50,736460
146,50,749027
147,50,760682
148,50,772737
149,50,784699
150,50,794785
151,50,807322
152,50,819885
153,50,832492
154,50,843879
155,50,854646
156,50,866114
157,50,878112
158,50,889614
159,50,901755
160,50,912300
161,50,924868
162,50,936237
163,50,946914
164,50,957863
165,50,968275
166,50,978387
167,50,990958
168,51,3492
169,51,16042
170,51,28578
171,51,40886
172,51,53371
173,51,63492
174,51,76039
175,51,88535
176,51,101080
177,51,111674
178,51,124206
179,51,136725
180,51,149252
181,51,161779
182,51,174307
183,51,186831
184,51,199360
185,51,211890
186,51,224405
187,51,235837
188,51,248238
189,51,260769
190,51,273306
191,51,285555
192,51,298075
193,51,309858
194,51,322056
195,51,334573
196,51,346110
197,51,358413
198,51,370942
199,51,383377
200,51,395971
201,51,407403
202,51,419458
203,51,431995
204,51,443130
205,51,453568
206,51,466127
207,51,478303
208,51,490866
209,51,502604
210,51,515131
211,51,527668
212,51,543244
213,51,555797
214,51,568237
215,51,579964
216,51,592489
217,51,605057
218,51,617616
219,51,629898
220,51,641969
221,51,653558
222,51,665636
223,51,677562
224,51,690083
225,51,702629
226,51,714570
227,51,725570
228,51,738107
229,51,750664
230,51,761863
231,51,773828
232,51,785281
233,51,797824
234,51,809471
235,51,821999
236,51,834527
237,51,845307
238,51,857853
239,51,869561
240,51,880731
241,51,890880
242,51,902630
243,51,915123
244,51,927649
245,51,938831
246,51,950490
247,51,963014
248,51,974472
249,51,987115
250,51,999247
251,52,10019
252,52,20622
253,52,33181
254,52,45682
255,52,58100
256,52,69683
257,52,82212
258,52,92924
259,52,105423
260,52,116747
261,52,128224
262,52,139590
263,52,152114
264,52,164636
265,52,177168
266,52,189681
267,52,202189
268,52,214718
269,52,225278
270,52,237843
271,52,249747
272,52,262279
273,52,274813
274,52,287347
275,52,298886
276,52,311406
277,52,323923
278,52,336437
279,52,348967
280,52,361501
281,52,374019
282,52,386540
283,52,399067
284,52,411592
285,52,424121
286,52,436836
287,52,447727
288,52,460341
289,52,472893
290,52,485112
291,52,497533
292,52,509890
293,52,521995
294,52,534558
295,52,546297
296,52,558625
297,52,570645
298,52,584566
299,52,597142
300,52,608627
